date,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2020-06-27,2250721.6333109387
2020-06-28,2262102.7866570824
2020-06-29,2244528.541263024
2020-06-30,2228542.3329916545
2020-07-01,2243368.810314107
2020-07-02,2262146.3944205213
2020-07-03,2299628.4682579003
2020-07-04,2404397.991397531
2020-07-05,2449285.7042139475
2020-07-06,2450374.5900860145
2020-07-07,2451329.046639445
2020-07-08,2503302.346687621
2020-07-09,2563777.7632086226
2020-07-10,2576499.540518802
2020-07-11,2595112.205747632
2020-07-12,2666387.4781064694
2020-07-13,2617528.1640440924
2020-07-14,2635622.8931919024
2020-07-15,2641720.8143851324
2020-07-16,2654731.941332541
2020-07-17,2676638.0985263074
2020-07-18,2698801.9940925813
2020-07-19,2718517.231987756
2020-07-20,2761855.724244648
2020-07-21,2745418.3482854166
2020-07-22,2772985.5708225486
2020-07-23,2903240.8289251924
2020-07-24,2964061.9390929886
2020-07-25,3037943.396722725
2020-07-26,3057675.274510496
2020-07-27,3032927.571967337
2020-07-28,3067084.5962009593
2020-07-29,3101146.1670767553
2020-07-30,3179834.4764441587
2020-07-31,3186934.419266481
2020-08-01,3242804.413580222
2020-08-02,3213522.534996191
2020-08-03,3214434.327919155
2020-08-04,3234392.117820065
2020-08-05,3255409.564737735
2020-08-06,3278203.0613643853
2020-08-07,3203826.7748598796
2020-08-08,3248565.1498303427
2020-08-09,3270218.7615587194
2020-08-10,3314273.9921629163
2020-08-11,3384976.0904939654
2020-08-12,3524578.571914575
2020-08-13,3849761.270564117
2020-08-14,3587680.3744431
2020-08-15,3596103.141077292
2020-08-16,3597985.672894676
2020-08-17,3616355.637535701
2020-08-18,3595655.8580611646
2020-08-19,3647525.870128955
2020-08-20,3655071.3029285823
2020-08-21,3634985.949665229
2020-08-22,3638349.4307982074
2020-08-23,3668245.2032857984
2020-08-24,3679796.6878586127
2020-08-25,3692016.5777102294
2020-08-26,3702367.1258263304
2020-08-27,3747311.56908682
2020-08-28,3779498.143804328
2020-08-29,3983323.956547756
2020-08-30,4071969.6879948294
2020-08-31,4397802.46097369
2020-09-01,4899254.823416389
2020-09-02,5390798.123391815
2020-09-03,5641719.650712751
2020-09-04,5896052.198257936
2020-09-05,6083434.991878877
2020-09-06,5463921.349088079
2020-09-07,5743902.371644316
2020-09-08,5859593.063060829
2020-09-09,5856051.767520387
2020-09-10,5971321.265697471
2020-09-11,6446217.625192405
2020-09-12,6517879.714969818
2020-09-13,6436021.345189077
2020-09-14,6288398.021897181
2020-09-15,6272317.454140591
2020-09-16,6131388.018518371
2020-09-17,6008624.579832689
2020-09-18,6516830.359498669
2020-09-19,6951924.264513875
2020-09-20,7121925.1734852055
2020-09-21,7275609.13642594
2020-09-22,7219517.200255871
2020-09-23,7173145.957634706
2020-09-24,7255959.996317335
2020-09-25,7247626.468499784
2020-09-26,7252199.352496296
2020-09-27,7327595.12531599
2020-09-28,7374283.669616075
2020-09-29,7358267.874285164
2020-09-30,7306584.186270065
2020-10-01,7358183.328010586
2020-10-02,7465683.62869258
2020-10-03,7500478.577310723
2020-10-04,7503783.755458066
2020-10-05,7468154.469622912
2020-10-06,7453759.090606586
2020-10-07,7404575.173035129
2020-10-08,7387585.175417058
2020-10-09,7468279.410411769
2020-10-10,7541818.088331438
2020-10-11,7635013.372264425
2020-10-12,7722002.732288946
2020-10-13,7695971.085419025
2020-10-14,7733273.534692123
2020-10-15,7843664.092401353
2020-10-16,7843672.528378939
2020-10-17,7848571.952946001
2020-10-18,7859188.976292428
2020-10-19,7831836.318024008
2020-10-20,7866930.160132792
